"gemeindeschluessel","anzahl_meldebereiche","faelle_covid_aktuell","faelle_covid_aktuell_beatmet","anzahl_standorte","betten_frei","betten_belegt","bundesland","daten_stand"
"05366",3,3,3,3,9,38,"05",2020-04-27
"05370",3,8,6,3,10,24,"05",2020-04-27
"05374",7,3,3,7,51,51,"05",2020-04-27
"05378",4,5,5,4,16,40,"05",2020-04-27
"05382",6,5,3,6,39,60,"05",2020-04-27
"05512",2,2,1,2,44,24,"05",2020-04-27
"05513",4,6,2,3,71,33,"05",2020-04-27
"05515",7,13,11,7,77,189,"05",2020-04-27
"05554",5,9,4,5,40,44,"05",2020-04-27
"05558",3,1,1,3,22,23,"05",2020-04-27
"05562",14,5,2,14,153,164,"05",2020-04-27
"05566",5,19,12,5,40,66,"05",2020-04-27
"05570",4,2,1,4,29,26,"05",2020-04-27
"05711",4,5,5,4,44,106,"05",2020-04-27
"05754",3,1,1,3,31,23,"05",2020-04-27
"05758",4,4,4,3,25,45,"05",2020-04-27
"05762",5,5,3,5,19,24,"05",2020-04-27
"05766",2,5,4,2,31,44,"05",2020-04-27
"05770",6,11,4,6,50,99,"05",2020-04-27
"05774",5,7,5,4,37,79,"05",2020-04-27
"05911",7,12,7,5,85,167,"05",2020-04-27
"05913",9,8,8,9,89,219,"05",2020-04-27
"05914",5,7,2,5,40,44,"05",2020-04-27
"05915",5,6,5,5,40,49,"05",2020-04-27
"05916",4,5,3,4,20,50,"05",2020-04-27
"05954",5,2,2,5,43,42,"05",2020-04-27
"05958",9,4,4,9,90,54,"05",2020-04-27
"05962",8,17,6,8,53,82,"05",2020-04-27
"05966",3,9,9,3,24,23,"05",2020-04-27
"05970",6,4,4,6,45,93,"05",2020-04-27
"05974",7,2,1,7,34,59,"05",2020-04-27
"05978",8,5,3,8,79,79,"05",2020-04-27
"06411",6,9,5,4,29,49,"06",2020-04-27
"06412",16,45,40,12,129,246,"06",2020-04-27
"06413",2,9,7,2,30,82,"06",2020-04-27
"06414",5,8,7,4,68,80,"06",2020-04-27
"06431",5,5,1,5,16,33,"06",2020-04-27
"06432",2,10,6,2,2,25,"06",2020-04-27
"06433",2,6,5,2,19,17,"06",2020-04-27
"06434",3,2,1,3,5,25,"06",2020-04-27
"06435",4,17,10,4,27,63,"06",2020-04-27
"06436",2,14,6,2,44,34,"06",2020-04-27
"06437",2,8,6,2,25,121,"06",2020-04-27
"06438",2,13,13,2,16,42,"06",2020-04-27
"06439",2,2,0,2,11,11,"06",2020-04-27
"06440",5,4,3,5,57,83,"06",2020-04-27
"06531",4,14,13,4,53,216,"06",2020-04-27
"06532",2,3,3,2,21,38,"06",2020-04-27
"06533",3,3,2,3,37,29,"06",2020-04-27
"06534",3,6,5,3,51,126,"06",2020-04-27
"06535",4,2,1,4,21,20,"06",2020-04-27
"06611",6,12,9,6,47,133,"06",2020-04-27
"06631",4,8,8,4,26,63,"06",2020-04-27
"06632",3,2,1,3,37,34,"06",2020-04-27
"06633",3,1,1,3,11,18,"06",2020-04-27
"06634",3,2,1,3,29,20,"06",2020-04-27
"06635",7,0,0,7,57,68,"06",2020-04-27
"06636",2,2,2,2,28,11,"06",2020-04-27
"07111",4,9,7,4,46,64,"07",2020-04-27
"07131",2,1,0,2,17,11,"07",2020-04-27
"07132",2,3,3,2,10,10,"07",2020-04-27
"07133",4,3,2,4,19,27,"07",2020-04-27
"07134",2,0,0,2,8,20,"07",2020-04-27
"07135",2,0,0,2,12,4,"07",2020-04-27
"07137",4,2,1,4,27,17,"07",2020-04-27
"07138",5,2,2,5,39,36,"07",2020-04-27
"07140",2,0,0,2,10,5,"07",2020-04-27
"07141",5,3,2,5,22,24,"07",2020-04-27
"07143",4,2,1,4,17,19,"07",2020-04-27
"07211",4,3,1,3,64,63,"07",2020-04-27
"07231",2,2,2,2,12,12,"07",2020-04-27
"07232",2,1,1,2,7,11,"07",2020-04-27
"07233",2,5,5,2,14,5,"07",2020-04-27
"07235",2,0,0,2,14,6,"07",2020-04-27
"07311",1,3,1,1,6,16,"07",2020-04-27
"07312",1,10,4,1,77,74,"07",2020-04-27
"07313",2,5,1,2,13,4,"07",2020-04-27
"07314",4,4,4,4,56,65,"07",2020-04-27
"07315",2,7,2,2,47,98,"07",2020-04-27
"07316",1,0,0,1,8,13,"07",2020-04-27
"07317",1,0,0,1,8,8,"07",2020-04-27
"07318",2,7,6,2,9,20,"07",2020-04-27
"07319",1,1,0,1,7,23,"07",2020-04-27
"07320",1,2,2,1,13,2,"07",2020-04-27
"07331",1,0,0,1,4,4,"07",2020-04-27
"07332",2,3,3,2,8,8,"07",2020-04-27
"07333",2,0,0,2,6,6,"07",2020-04-27
"07334",2,0,0,2,18,11,"07",2020-04-27
"07335",1,0,0,1,9,6,"07",2020-04-27
"07336",1,0,0,1,2,14,"07",2020-04-27
"07337",2,0,0,2,7,10,"07",2020-04-27
"07339",2,13,11,2,11,14,"07",2020-04-27
"07340",1,0,0,1,8,1,"07",2020-04-27
"08111",10,23,16,9,235,262,"08",2020-04-27
"08115",4,9,9,4,29,34,"08",2020-04-27
"08116",6,20,17,4,38,57,"08",2020-04-27
"08117",4,4,3,3,43,32,"08",2020-04-27
"08118",5,24,23,4,107,99,"08",2020-04-27
"08119",2,6,4,2,63,46,"08",2020-04-27
"08121",1,16,11,1,69,40,"08",2020-04-27
"08125",2,10,6,2,27,32,"08",2020-04-27
"08126",1,5,5,1,1,10,"08",2020-04-27
"08127",2,7,7,2,7,21,"08",2020-04-27
"08128",3,9,9,3,34,34,"08",2020-04-27
"08135",1,4,4,1,7,17,"08",2020-04-27
"08136",3,8,6,3,23,27,"08",2020-04-27
"08211",1,9,8,1,9,14,"08",2020-04-27
"08212",4,8,5,4,72,116,"08",2020-04-27
"08215",3,9,3,3,52,27,"08",2020-04-27
"08216",2,0,0,2,0,15,"08",2020-04-27
"08221",6,23,13,6,137,245,"08",2020-04-27
"08222",5,19,13,3,43,104,"08",2020-04-27
"08225",3,2,1,3,13,10,"08",2020-04-27
"08226",4,4,3,4,12,33,"08",2020-04-27
"08231",2,4,3,2,47,46,"08",2020-04-27
"08235",2,5,5,2,12,10,"08",2020-04-27
"08236",2,0,0,2,18,6,"08",2020-04-27
"08237",1,4,4,1,9,9,"08",2020-04-27
"08311",4,22,20,4,53,132,"08",2020-04-27
"08315",4,6,1,4,49,72,"08",2020-04-27
"08316",3,6,4,3,4,30,"08",2020-04-27
"08317",6,7,3,6,134,49,"08",2020-04-27
"08325",2,7,4,2,4,9,"08",2020-04-27
"08326",3,10,9,1,24,52,"08",2020-04-27
"08327",1,2,2,1,12,8,"08",2020-04-27
"08335",6,9,4,5,36,62,"08",2020-04-27
"08336",1,6,5,1,3,22,"08",2020-04-27
"08337",2,3,3,2,26,18,"08",2020-04-27
"08415",1,6,5,1,22,20,"08",2020-04-27
"08416",2,3,3,2,8,31,"08",2020-04-27
"08417",1,13,8,1,8,17,"08",2020-04-27
"08421",3,16,8,3,73,85,"08",2020-04-27
"08425",2,4,1,2,19,11,"08",2020-04-27
"08426",1,5,5,1,9,18,"08",2020-04-27
"08435",3,8,1,3,37,35,"08",2020-04-27
"08436",5,9,6,4,19,47,"08",2020-04-27
"08437",1,4,4,1,15,10,"08",2020-04-27
"09161",1,3,3,1,14,44,"09",2020-04-27
"09162",24,148,111,22,271,565,"09",2020-04-27
"09163",1,8,5,1,37,26,"09",2020-04-27
"09171",3,0,0,2,9,25,"09",2020-04-27
"09172",3,7,6,3,6,16,"09",2020-04-27
"09173",2,6,4,2,10,18,"09",2020-04-27
"09174",1,10,7,1,40,28,"09",2020-04-27
"09176",3,3,2,3,18,42,"09",2020-04-27
"09177",1,5,5,1,13,15,"09",2020-04-27
"09178",1,9,5,1,9,16,"09",2020-04-27
"09179",1,2,1,1,4,11,"09",2020-04-27
"09180",2,3,1,2,56,61,"09",2020-04-27
"09182",1,3,3,1,13,17,"09",2020-04-27
"09183",1,10,9,1,6,14,"09",2020-04-27
"09184",2,0,0,2,11,7,"09",2020-04-27
"09185",3,3,2,2,19,9,"09",2020-04-27
"09186",1,0,0,1,5,8,"09",2020-04-27
"09187",4,15,8,4,26,21,"09",2020-04-27
"09188",5,8,6,5,35,49,"09",2020-04-27
"09189",2,13,6,2,10,36,"09",2020-04-27
"09190",3,1,1,3,22,22,"09",2020-04-27
"09261",2,12,3,2,34,38,"09",2020-04-27
"09262",3,6,2,2,19,28,"09",2020-04-27
"09263",1,2,1,1,23,18,"09",2020-04-27
"09271",2,9,4,2,8,27,"09",2020-04-27
"09272",2,1,1,2,13,10,"09",2020-04-27
"09273",3,4,4,3,16,10,"09",2020-04-27
"09274",1,2,2,1,4,6,"09",2020-04-27
"09275",1,3,3,1,8,10,"09",2020-04-27
"09276",2,4,2,2,12,12,"09",2020-04-27
"09277",1,0,0,1,1,1,"09",2020-04-27
"09278",2,11,4,2,8,13,"09",2020-04-27
"09279",2,4,1,2,4,13,"09",2020-04-27
"09361",1,6,3,1,18,16,"09",2020-04-27
"09362",4,52,37,4,117,232,"09",2020-04-27
"09363",1,14,11,1,14,67,"09",2020-04-27
"09371",1,3,2,1,7,7,"09",2020-04-27
"09372",1,3,2,1,9,8,"09",2020-04-27
"09373",1,3,3,1,15,20,"09",2020-04-27
"09375",2,3,3,2,2,12,"09",2020-04-27
"09376",3,10,9,3,16,22,"09",2020-04-27
"09461",4,7,5,1,33,27,"09",2020-04-27
"09462",5,10,9,2,13,54,"09",2020-04-27
"09464",1,1,1,1,20,22,"09",2020-04-27
"09471",1,2,1,1,6,3,"09",2020-04-27
"09472",1,1,1,1,6,4,"09",2020-04-27
"09474",2,1,1,2,10,7,"09",2020-04-27
"09475",2,5,4,2,6,11,"09",2020-04-27
"09476",1,3,2,1,3,14,"09",2020-04-27
"09477",1,6,4,1,8,30,"09",2020-04-27
"09478",2,6,2,2,14,15,"09",2020-04-27
"09479",2,4,4,2,16,9,"09",2020-04-27
"09561",2,3,2,2,17,14,"09",2020-04-27
"09562",2,0,0,2,5,21,"09",2020-04-27
"09563",2,7,5,2,26,24,"09",2020-04-27
"09564",8,24,15,6,99,139,"09",2020-04-27
"09571",3,7,3,3,19,14,"09",2020-04-27
"09572",1,0,0,1,0,6,"09",2020-04-27
"09574",2,2,2,2,3,13,"09",2020-04-27
"09575",3,1,1,2,34,45,"09",2020-04-27
"09576",1,2,0,1,5,9,"09",2020-04-27
"09577",2,2,2,2,5,11,"09",2020-04-27
"09661",1,19,14,1,17,47,"09",2020-04-27
"09662",2,11,11,2,6,44,"09",2020-04-27
"09663",3,15,14,3,44,89,"09",2020-04-27
"09672",4,5,2,4,16,46,"09",2020-04-27
"09673",1,18,19,1,39,124,"09",2020-04-27
"09674",2,2,2,2,9,7,"09",2020-04-27
"09675",1,1,1,1,8,4,"09",2020-04-27
"09676",1,1,1,1,9,5,"09",2020-04-27
"09677",1,2,1,1,1,7,"09",2020-04-27
"09678",2,0,0,2,8,0,"09",2020-04-27
"09679",1,2,2,1,5,7,"09",2020-04-27
"09761",3,7,5,2,57,105,"09",2020-04-27
"09762",1,3,3,1,16,15,"09",2020-04-27
"09763",1,1,1,1,0,24,"09",2020-04-27
"09764",1,0,0,1,9,22,"09",2020-04-27
"09771",2,4,4,2,11,15,"09",2020-04-27
"09772",2,0,0,2,7,6,"09",2020-04-27
"09773",2,3,3,2,9,15,"09",2020-04-27
"09774",4,1,1,4,24,43,"09",2020-04-27
"09775",2,1,1,2,10,10,"09",2020-04-27
"09776",2,1,1,2,9,10,"09",2020-04-27
"09777",2,4,4,2,9,8,"09",2020-04-27
"09778",2,2,2,2,9,8,"09",2020-04-27
"09779",3,4,3,3,16,19,"09",2020-04-27
"09780",1,3,2,1,21,15,"09",2020-04-27
"10041",7,20,10,7,156,119,"10",2020-04-27
"10042",2,1,0,2,17,8,"10",2020-04-27
"10043",3,2,1,3,23,18,"10",2020-04-27
"10044",4,4,1,3,23,45,"10",2020-04-27
"10045",10,19,14,2,103,120,"10",2020-04-27
"10046",1,0,0,1,9,7,"10",2020-04-27
"11000",56,146,110,42,455,992,"11",2020-04-27
"12051",3,3,1,3,31,50,"12",2020-04-27
"12052",2,0,0,2,53,48,"12",2020-04-27
"12053",1,0,0,1,5,10,"12",2020-04-27
"12054",4,7,5,4,39,34,"12",2020-04-27
"12060",2,17,5,2,39,73,"12",2020-04-27
"12061",5,0,0,5,23,48,"12",2020-04-27
"12062",3,0,0,3,26,19,"12",2020-04-27
"12063",2,4,2,2,11,10,"12",2020-04-27
"12064",3,5,2,3,25,20,"12",2020-04-27
"12065",5,1,1,5,40,19,"12",2020-04-27
"12066",1,2,1,1,13,27,"12",2020-04-27
"12067",4,3,3,4,55,59,"12",2020-04-27
"12068",3,5,1,3,21,37,"12",2020-04-27
"12069",3,2,0,3,41,59,"12",2020-04-27
"12070",2,0,0,2,17,8,"12",2020-04-27
"12071",3,0,0,3,13,10,"12",2020-04-27
"12072",2,0,0,2,13,9,"12",2020-04-27
"12073",4,1,1,4,17,24,"12",2020-04-27
"13003",2,0,0,2,50,69,"13",2020-04-27
"13004",1,0,0,1,11,53,"13",2020-04-27
"13071",5,4,3,5,25,53,"13",2020-04-27
"13072",5,0,0,4,33,29,"13",2020-04-27
"13073",4,0,0,4,29,40,"13",2020-04-27
"13074",2,0,0,2,17,8,"13",2020-04-27
"13075",6,2,2,6,75,130,"13",2020-04-27
"13076",6,0,0,6,36,116,"13",2020-04-27
"14511",3,6,1,3,46,130,"14",2020-04-27
"14521",6,11,9,6,47,44,"14",2020-04-27
"14522",5,3,2,5,35,33,"14",2020-04-27
"14523",3,2,2,3,32,40,"14",2020-04-27
"14524",5,11,9,5,43,77,"14",2020-04-27
"14612",7,6,6,6,62,111,"14",2020-04-27
"14625",6,1,0,5,28,36,"14",2020-04-27
"14626",5,1,1,5,21,38,"14",2020-04-27
"14627",5,4,4,5,42,52,"14",2020-04-27
"14628",4,1,0,4,18,36,"14",2020-04-27
"14713",8,6,2,7,193,228,"14",2020-04-27
"14729",3,0,0,3,25,31,"14",2020-04-27
"14730",7,0,0,7,29,40,"14",2020-04-27
"15001",1,0,0,1,3,3,"15",2020-04-27
"15002",5,6,5,5,91,208,"15",2020-04-27
"15003",7,3,2,5,71,197,"15",2020-04-27
"15081",2,0,0,2,12,10,"15",2020-04-27
"15082",3,0,0,3,31,31,"15",2020-04-27
"15083",2,5,1,2,16,23,"15",2020-04-27
"15084",3,1,1,3,34,25,"15",2020-04-27
"15085",4,3,2,4,32,30,"15",2020-04-27
"15086",1,0,0,1,11,3,"15",2020-04-27
"15087",3,1,1,3,22,15,"15",2020-04-27
"15088",2,1,1,2,9,18,"15",2020-04-27
"15089",4,0,0,4,29,43,"15",2020-04-27
"15090",2,0,0,2,19,29,"15",2020-04-27
"15091",2,2,2,2,42,21,"15",2020-04-27
"16051",2,3,2,2,41,55,"16",2020-04-27
"16052",1,6,5,1,8,38,"16",2020-04-27
"16053",1,5,3,1,21,89,"16",2020-04-27
"16054",1,1,1,1,26,8,"16",2020-04-27
"16055",1,0,0,1,0,16,"16",2020-04-27
"16056",1,2,2,1,24,20,"16",2020-04-27
"16061",3,3,3,3,12,20,"16",2020-04-27
"16062",3,9,9,3,44,38,"16",2020-04-27
"16063",3,1,1,3,13,74,"16",2020-04-27
"16064",3,8,2,3,78,26,"16",2020-04-27
"16065",1,0,0,1,3,6,"16",2020-04-27
"16066",2,3,2,2,15,33,"16",2020-04-27
"16067",2,0,0,2,37,13,"16",2020-04-27
"16068",1,0,0,1,10,4,"16",2020-04-27
"16069",1,0,0,1,5,3,"16",2020-04-27
"16070",2,0,0,2,7,9,"16",2020-04-27
"16071",3,7,5,3,52,74,"16",2020-04-27
"16072",1,1,0,1,0,8,"16",2020-04-27
"16073",1,1,1,1,18,10,"16",2020-04-27
"16074",1,0,0,1,12,4,"16",2020-04-27
"16075",1,0,0,1,3,3,"16",2020-04-27
"16076",1,7,7,1,3,14,"16",2020-04-27
"16077",2,1,1,1,29,31,"16",2020-04-27
