"gemeindeschluessel","anzahl_meldebereiche","faelle_covid_aktuell","anzahl_standorte","betten_frei","betten_belegt","daten_stand"
"08222",5,24,3,25,120,2020-04-25
"08225",3,3,3,13,11,2020-04-25
"08226",4,5,4,12,26,2020-04-25
"08231",2,4,2,53,40,2020-04-25
"08235",2,4,2,12,10,2020-04-25
"08236",2,0,2,18,6,2020-04-25
"08237",1,3,1,9,9,2020-04-25
"08311",4,24,4,55,130,2020-04-25
"08315",4,5,4,51,69,2020-04-25
"08316",3,7,3,5,29,2020-04-25
"08317",6,7,6,127,52,2020-04-25
"08325",2,7,2,5,11,2020-04-25
"08326",3,8,1,22,54,2020-04-25
"08327",1,4,1,12,8,2020-04-25
"08335",6,10,5,36,64,2020-04-25
"08336",1,7,1,3,22,2020-04-25
"08337",2,3,2,28,16,2020-04-25
"08415",1,5,1,13,29,2020-04-25
"08416",3,25,2,14,88,2020-04-25
"08417",1,12,1,4,20,2020-04-25
"08421",3,16,3,73,81,2020-04-25
"08425",2,5,2,18,12,2020-04-25
"08426",1,3,1,14,13,2020-04-25
"08435",3,9,3,33,39,2020-04-25
"08436",5,9,4,21,44,2020-04-25
"08437",1,4,1,12,13,2020-04-25
"09161",2,3,1,16,41,2020-04-25
"09162",25,161,23,243,588,2020-04-25
"09163",1,8,1,35,28,2020-04-25
"09171",3,0,2,7,27,2020-04-25
"09172",3,6,3,6,17,2020-04-25
"09173",2,7,2,6,22,2020-04-25
"09174",1,9,1,46,22,2020-04-25
"09176",3,3,3,16,44,2020-04-25
"09177",1,5,1,9,19,2020-04-25
"09178",1,10,1,7,18,2020-04-25
"09179",1,2,1,5,10,2020-04-25
"09180",2,4,2,72,55,2020-04-25
"09181",1,1,1,5,5,2020-04-25
"09182",1,4,1,15,15,2020-04-25
"09183",1,10,1,7,13,2020-04-25
"09184",2,0,2,10,7,2020-04-25
"09185",3,3,2,11,15,2020-04-25
"09186",1,0,1,3,7,2020-04-25
"09187",5,31,5,24,54,2020-04-25
"09188",5,8,5,39,45,2020-04-25
"09189",3,10,2,19,44,2020-04-25
"09190",3,1,3,20,24,2020-04-25
"09261",3,12,3,33,43,2020-04-25
"09262",2,6,2,17,8,2020-04-25
